new_arcfile_name,datetime_str,obs_date,datetime_jd,obs_start_mjd,RA,DEC,RA_rate,DEC_rate,Tmag,airmass,r,r_rate,delta,delta_rate,elong,alpha,velocityPA,sunTargetPA,airmass_correction,start_parallactic_angle,end_parallactic_angle,ra_tracking_rate,dec_tracking_rate,integration_time,start_airmass,end_airmass,start_alt_angle
MUSE.2019-11-14T08:03:10.611,2019-Nov-14 08:03:10.611,2019-11-14T08:03:10.611,2458801.835539479,58801.33553948,161.68644,-0.59821,65.41318,-101.282,16.87,2.17,2.077572635229,-9.961438,2.22992682139962,-23.3101441,68.2452,26.2569,330.982,289.291,1.15,-117.935,-118.662,15.018197,14.971863,600.0,2.073,1.925,28.743
MUSE.2019-11-14T08:19:45.880,2019-Nov-14 08:19:45.880,2019-11-14T08:19:45.880,2458801.847058796,58801.3470588,161.69147,-0.60599,65.35715,-101.292,16.87,1.948,2.077506371598,-9.9570514,2.22977181289342,-23.2886538,68.2495,26.2585,330.982,289.291,1.05,-119.051,-119.927,15.018197,14.971863,600.0,1.862,1.747,32.394
MUSE.2019-11-15T08:02:02.188,2019-Nov-15 08:02:02.188,2019-11-15T08:02:02.188,2458802.834747546,58802.33474755,162.1254,-1.27555,65.28986,-102.165,16.852,2.128,2.07193367186,-9.5792264,2.21680893028873,-22.8438652,68.6019,26.3975,330.935,289.25,1.26,-117.669,-118.373,15.01814,14.971622,600.0,2.038,1.895,29.29
MUSE.2019-11-15T08:18:33.659,2019-Nov-15 08:18:33.659,2019-11-15T08:18:33.659,2458802.846222905,58802.34622291,162.1304,-1.28336,65.23375,-102.174,16.852,1.916,2.071870194602,-9.574817,2.21665760411816,-22.8222843,68.6061,26.399,330.934,289.249,32.58,-118.744,-119.597,15.01814,14.971622,600.0,1.835,1.724,32.936
MUSE.2019-11-26T07:17:24.151,2019-Nov-26 07:17:24.150,2019-11-26T07:17:24.150,2458813.803751736,58813.30375175,166.89371,-9.06294,63.21361,-110.568,16.681,2.159,2.024988131805,-5.1850233,2.09125924497643,-17.3938002,72.4141,27.6927,330.022,289.11,0.99,-113.092,-113.253,15.017564,14.969285,600.0,2.121,1.961,28.025
MUSE.2019-11-26T07:34:33.387,2019-Nov-26 07:34:33.386,2019-11-26T07:34:33.386,2458813.81566419,58813.3156642,166.8988,-9.07172,63.14694,-110.57,16.681,1.925,2.024952473668,-5.1800859,2.09113964954167,-17.3731678,72.4183,27.6939,330.02,289.11,1.28,-113.367,-113.638,15.017564,14.969285,600.0,1.887,1.764,31.922
MUSE.2019-11-26T07:46:28.549,2019-Nov-26 07:46:28.548,2019-11-26T07:46:28.548,2458813.823941528,58813.32394154,166.90233,-9.07782,63.10221,-110.571,16.681,1.794,2.024927716709,-5.176655,2.0910566357006,-17.3576873,72.4212,27.6946,330.019,289.11,1.33,-113.658,-114.015,15.017564,14.969285,600.0,1.757,1.653,34.623
MUSE.2019-11-26T08:03:33.587,2019-Nov-26 08:03:33.586,2019-11-26T08:03:33.586,2458813.835805393,58813.3358054,166.90739,-9.08656,63.04064,-110.572,16.681,1.641,2.024892261294,-5.1717373,2.09093778630747,-17.3339312,72.4254,27.6957,330.018,289.111,1.01,-114.24,-114.74,15.017564,14.969285,600.0,1.605,1.523,38.484
MUSE.2019-12-05T07:09:26.389,2019-Dec-05 07:09:26.388,2019-12-05T07:09:26.388,2458822.798222083,58822.29822209,170.72042,-15.8236,60.179,-114.868,16.584,1.824,2.007852247412,-1.39434,2.01531938724594,-12.5027556,75.3959,28.3634,328.65,289.495,1.12,-109.331,-109.17,15.016716,14.96809,600.0,1.82,1.707,33.244
MUSE.2019-12-05T07:26:38.437,2019-Dec-05 07:26:38.436,2019-12-05T07:26:38.436,2458822.810167084,58822.31016709,170.7254,-15.83275,60.1103,-114.861,16.584,1.662,2.00784264528,-1.3892486,2.01523321232816,-12.4807594,75.3999,28.364,328.648,289.496,1.12,-109.106,-109.03,15.016716,14.96809,600.0,1.653,1.563,37.156
