date,jd,Q(C2),Q(C2) un,Q(C2) upper lim,Q(NH2),Q(NH2) un,Q(CN),Q(CN) un,Q(CN) upper lim,ratio Q(C2)/Q(CN),ratio Q(C2)/Q(CN) un,ratio Q(C2)/Q(CN) upper lim,ratio Q(NH2)/Q(CN),ratio Q(NH2)/Q(CN) un,author,year
2019-Nov-14/15,2458802.3,0.72,0.2,,4.9,0.2,2.5,0.1,,0.288,0.0808251841940369,,1.96,0.112011427988398,Deam,2024
2019-Nov-26,2458813.80375174,0.65,0.3,,4.8,0.2,2.3,0.1,,0.282608695652174,0.131012255554937,,2.08695652173913,0.125676900858939,Deam,2024
2019-Dec-05,2458822.79822208,0.64,0.3,,4.2,0.2,2.2,0.1,,0.290909090909091,0.137003258234567,,1.90909090909091,0.125676911783021,Deam,2024
2019-Dec-06,2458823.81774039,0.65,0.3,,4.3,0.2,2.1,0.1,,0.30952380952381,0.143615487109002,,2.04761904761905,0.136299854214501,Deam,2024
2019-Dec-21,2458838.83077844,0.53,0.2,,3.4,0.8,2,0.2,,0.265,0.103451679541707,,1.7,0.434626276242015,Deam,2024
2019-Dec-23,2458840.74355963,0.51,0.2,,3.5,0.8,1.7,0.2,,0.3,0.122827135398948,,2.05882352941176,0.52926474200689,Deam,2024
2019-Dec-29,2458846.72130876,0.48,0.2,,3.5,0.8,2.6,0.8,,0.184615384615385,0.095623938097116,,1.34615384615385,0.515981759919329,Deam,2024
2019-Dec-31,2458848.73392734,0.49,0.2,,3.3,0.8,1.6,0.2,,0.30625,0.130730463555984,,2.0625,0.562554250856084,Deam,2024
2020-Feb-02,2458881.67908985,0.27,0.2,,2.1,0.8,1.5,0.4,,0.18,0.141710189392922,,1.4,0.651016299505798,Deam,2024
2020-Feb-04,2458883.63763781,0.44,0.2,,2.6,0.8,2.1,0.4,,0.20952380952381,0.103262029690383,,1.23809523809524,0.448039511482212,Deam,2024
2020-Feb-16,2458895.67168691,0.21,0.2,,1.3,0.8,1.7,0.9,,0.123529411764706,0.134602076124567,,0.764705882352941,0.62076741769777,Deam,2024
2020-Feb-25,2458904.64466321,0.28,0.2,,2.1,0.8,1.9,0.7,,0.147368421052632,0.11844040923269,,1.10526315789474,0.585746500910599,Deam,2024
2020-Feb-28,2458907.66828002,0.31,0.2,,2.4,0.8,1.6,0.7,,0.19375,0.151030497521662,,1.5,0.825023673902755,Deam,2024
2020-Mar-16,2458924.69571296,0.6,0.2,,4.4,0.8,2.9,1,,0.206896551724138,0.0992278052082049,,1.51724137931035,0.591459369577543,Deam,2024
2020-Mar-19,2458927.72479178,0.43,0.2,,5.5,0.8,2.8,1,,0.153571428571429,0.0900568015719584,,1.96428571428571,0.757481255859131,Deam,2024
20/09/19,2458746,,,4,,,3.7,0.4,,,,1,,,Fitzsimmons,2019
20/09/19,2458746,,,8,,,,,5,,,,,,Kareta,2020
24/09/19,2458750,,,,,,2.3,0.4,,,,,,,deLe\'{o}n,2020
26/09/19,2458752,,,4.6,,,9.5,0.2,,,,0.511,,,deLe\'{o}n,2020
01/10/19,2458757,,,2.5,,,1.1,0.2,,,,2.3,,,Kareta,2020
01/10/19,2458757,,,0.9,,,1.8,0.1,,,,,,,Opitom,2019
02/10/19,2458758,,,0.6,,,1.9,0.1,,,,,,,Opitom,2019
09/10/19,2458765,,,0.44,,,1.74,0.09,,,,0.3,,,Kareta,2020
10/10/19,2458766,,,0.162,,,1.73,0.04,,,,0.1,,,Kareta,2020
13/10/19,2458769,,,0.6,,,2.1,0.1,,,,0.3,,,Opitom,2019
18/10/19,2458774,,,,,,1.9,0.6,,,,,,,Opitom,2019
20/10/19,2458776,,,,,,1.6,0.5,,,,,,,Opitom,2019
26/10/19,2458782,,,,,,1.9,0.3,,,,,,,Kareta,2020
31/10/19,2458787,,,,,,2,0.2,,,,,,,Lin,2020
04/11/19,2458791,0.55,0.04,,,,2.4,0.2,,0.2,0.1,,,,Lin,2020
10/11/19,2458797,,,,,,1.9,0.5,,,,,,,Bannister,2020
17/11/19,2458804,,,,,,1.9,0.5,,,,,,,Bannister,2020
25/11/19,2458812,,,,,,1.6,0.5,,,,,,,Bannister,2020
30/11/19,2458817,1.82,0.6,,,,3.36,0.25,,0.54,0.18,,,,Aravind,2021
15/12/19,2458832,,,,,,0.95,0.18,,,,,,,Cordiner,2020
18/12/19,2458835,,,,,,1.16,0.19,,,,,,,Cordiner,2020
19/12/19,2458836,,,,,,0.92,0.17,,,,,,,Cordiner,2020
22/12/19,2458839,2.3,0.82,,,,6.68,0.27,,0.34,0.12,,,,Aravind,2021
