S,uncertainty,Filters,wavelength start,wavelength end,wavelength range,wavelength midpoint,date,jd,date span,author
12.5,, g' r' ,475,630,77.5,552.5,10 09,2458736.5,, Guzik 2019
12.5,, g' r' ,475,630,77.5,552.5,13/09,2458738.5,, Guzik 2019
4,, B R   ,440,650,105,545,26 09,2458751.5,, Jewitt 2019
10.6,1.4, g' i' ,470,762,146,616,31 nov,2458818.5,60, Hui 2020
12,1,spectroscopic,400,900,250,650,13 09,2458738.5,, de Leon 2020
12,1,spectroscopic,400,900,250,650,24 09,2458749.5,, de Leon 2020
12,1,spectroscopic,400,900,250,650,26 09,2458751.5,, de Leon 2020
22,1,spectroscopic,390,600,105,495,24 09,2458749.5,, de Leon 2020
22,1,spectroscopic,390,600,105,495,26 09,2458751.5,, de Leon 2020
22,4,spectroscopic,445,526,40.5,485.5, 10/10     ,2458766.5,, Kareta2020
11,3,spectroscopic,526,713,93.5,619.5, 10/10     ,2458766.5,, Kareta2020
19.9,1.5,spectroscopic,390,600,105,495,20.2 09,2458745.2,, Fitzsimmons 2019
11,0.9,photometry,330,1100,385,715,24-11 ,2458817.5,, Yang 2021
11.4,1,photometry,330,1100,385,715,26-12,2458843.5,, Yang 2021
9.3,3,photometry,330,1100,385,715,19-02,2458898.5,, Yang 2021
6,,spectroscopic,800,2400,800,1600,19 09,2458744.5,, Yang 2020
6,,spectroscopic,800,2400,800,1600,24 09,2458749.5,, Yang 2020
6,,spectroscopic,800,2400,800,1600,09 10,2458765.5,, Yang 2020
9.9,1.2,R I,640,790,75,715,30 11,2458817.5,,Aravind 2021
9.9,1.2,R I,640,790,75,715,22 12,2458839.5,,Aravind 2021
9.9,1.2,R I,640,790,75,715,24 12,2458841.5,,Aravind 2021
13.5,1.5,B V,420,550,65,485,30 11,2458817.5,,Aravind 2021
13.5,1.5,B V,420,550,65,485,22 12,2458839.5,,Aravind 2021
13.5,1.5,B V,420,550,65,485,25 12,2458842.5,,Aravind 2021
19.3,,spectroscopic,390,600,105,495,02 11,2458789,5,Lin 2020
9.2,,spectroscopic,550,900,175,725,02 11,2458789,5,Lin 2020
10.5,,R I,647,797,75,722,19/10/19,2458775.5,,Mazotta-Epifani 2021
5,,R I,647,797,75,722,2019-12-02,2458819.5,,Mazotta-Epifani 2021
