datetime_str_nice,start_alt_angle,airmass,DIMM,r,delta,elong,alpha,sunTargetPA,velocityPA,scale
2019-Nov-14 08:03:10,28.7,2.17,0.80,2.08,2.23,68.25,26.26,289.29,330.98,1617
2019-Nov-14 08:19:45,32.4,1.95,0.80,2.08,2.23,68.25,26.26,289.29,330.98,1617
2019-Nov-14 08:31:36,35.0,1.82,0.72,2.08,2.23,68.25,26.26,289.29,330.98,1617
2019-Nov-14 08:48:23,38.6,1.67,0.72,2.08,2.23,68.26,26.26,289.29,330.98,1617
2019-Nov-15 08:02:02,29.3,2.13,0.87,2.07,2.22,68.60,26.40,289.25,330.94,1608
2019-Nov-15 08:18:33,32.9,1.92,0.68,2.07,2.22,68.61,26.40,289.25,330.93,1608
2019-Nov-15 08:30:28,35.5,1.79,0.76,2.07,2.22,68.61,26.40,289.25,330.93,1608
2019-Nov-15 08:53:20,40.5,1.60,0.57,2.07,2.22,68.61,26.40,289.25,330.93,1607
2019-Nov-26 07:17:24,28.0,2.16,0.43,2.02,2.09,72.41,27.69,289.11,330.02,1517
2019-Nov-26 07:34:33,31.9,1.93,0.74,2.02,2.09,72.42,27.69,289.11,330.02,1517
2019-Nov-26 07:46:28,34.6,1.79,0.80,2.02,2.09,72.42,27.69,289.11,330.02,1517
2019-Nov-26 08:03:33,38.5,1.64,0.74,2.02,2.09,72.43,27.70,289.11,330.02,1516
2019-Dec-05 07:09:26,33.2,1.82,0.93,2.01,2.02,75.40,28.36,289.50,328.65,1462
2019-Dec-05 07:26:38,37.2,1.66,1.34,2.01,2.02,75.40,28.36,289.50,328.65,1462
2019-Dec-05 07:38:31,39.9,1.57,1.17,2.01,2.02,75.40,28.36,289.50,328.65,1462
2019-Dec-05 07:55:01,43.6,1.46,1.21,2.01,2.02,75.41,28.36,289.50,328.64,1461
2019-Dec-06 07:37:32,40.4,1.55,1.04,2.01,2.01,75.73,28.42,289.57,328.45,1457
2019-Dec-06 07:53:57,44.1,1.45,1.61,2.01,2.01,75.73,28.42,289.57,328.45,1457
2019-Dec-06 08:05:52,46.9,1.38,1.35,2.01,2.01,75.73,28.42,289.57,328.45,1456
2019-Dec-06 08:25:06,51.2,1.30,1.47,2.01,2.01,75.74,28.42,289.57,328.45,1456
2019-Dec-21 07:56:19,54.8,1.21,0.49,2.03,1.94,80.39,28.60,291.52,324.50,1410
2019-Dec-21 08:13:29,58.6,1.16,0.57,2.03,1.94,80.39,28.60,291.52,324.49,1410
2019-Dec-21 08:25:25,61.2,1.13,0.65,2.03,1.94,80.40,28.60,291.52,324.49,1409
2019-Dec-21 08:42:26,64.9,1.10,0.51,2.03,1.94,80.40,28.60,291.53,324.49,1409
2019-Dec-23 05:50:43,28.8,1.98,0.39,2.03,1.94,80.96,28.55,291.89,323.84,1407
2019-Dec-23 06:07:20,32.3,1.80,0.28,2.03,1.94,80.97,28.55,291.89,323.83,1407
2019-Dec-23 06:19:16,34.9,1.69,0.44,2.03,1.94,80.97,28.55,291.89,323.83,1407
2019-Dec-23 06:42:59,40.0,1.52,0.32,2.03,1.94,80.97,28.55,291.89,323.82,1407
2019-Dec-29 05:18:41,26.2,2.12,0.66,2.06,1.94,82.74,28.30,293.22,321.54,1405
2019-Dec-29 05:38:15,30.2,1.89,0.71,2.06,1.94,82.74,28.29,293.23,321.53,1405
2019-Dec-29 05:50:13,32.6,1.77,0.60,2.06,1.94,82.74,28.29,293.23,321.53,1405
2019-Dec-29 06:09:06,36.5,1.62,0.48,2.06,1.94,82.75,28.29,293.23,321.52,1405
2019-Dec-31 05:36:51,31.1,1.83,0.41,2.07,1.94,83.33,28.18,293.74,320.68,1406
2019-Dec-31 05:53:46,34.5,1.69,0.38,2.07,1.94,83.33,28.18,293.74,320.68,1406
2019-Dec-31 06:05:41,36.9,1.60,0.41,2.07,1.94,83.33,28.18,293.74,320.67,1406
2019-Dec-31 06:22:04,40.2,1.49,0.32,2.07,1.94,83.34,28.17,293.74,320.67,1406
2020-Feb-02 04:17:53,33.6,1.66,0.45,2.35,2.08,93.18,24.71,307.01,302.04,1512
2020-Feb-02 04:34:27,35.9,1.57,0.53,2.35,2.08,93.18,24.70,307.02,302.03,1512
2020-Feb-02 04:46:27,37.6,1.52,0.64,2.35,2.08,93.18,24.70,307.03,302.02,1512
2020-Feb-02 05:03:48,40.0,1.45,0.54,2.35,2.08,93.19,24.70,307.03,302.01,1512
2020-Feb-04 03:18:11,26.2,2.01,0.55,2.38,2.10,93.81,24.44,308.12,300.82,1522
2020-Feb-04 03:34:48,28.4,1.89,0.66,2.38,2.10,93.81,24.44,308.13,300.81,1522
2020-Feb-04 03:46:44,30.1,1.80,0.44,2.38,2.10,93.81,24.44,308.13,300.80,1522
2020-Feb-04 04:05:56,32.7,1.69,0.45,2.38,2.10,93.82,24.44,308.14,300.80,1522
2020-Feb-16 04:07:13,36.9,1.53,0.60,2.53,2.20,97.83,22.77,315.86,293.87,1593
2020-Feb-16 04:24:06,38.8,1.47,0.79,2.53,2.20,97.84,22.77,315.87,293.87,1593
2020-Feb-16 04:35:59,40.1,1.44,0.66,2.53,2.20,97.84,22.77,315.88,293.86,1594
2020-Feb-16 04:51:50,41.8,1.39,0.47,2.53,2.20,97.84,22.77,315.88,293.86,1594
2020-Feb-16 05:04:46,43.1,1.36,0.47,2.53,2.20,97.85,22.77,315.89,293.85,1594
2020-Feb-25 03:28:18,35.4,1.57,0.81,2.65,2.28,101.03,21.49,322.76,289.78,1653
2020-Feb-25 03:43:47,36.9,1.52,0.61,2.65,2.28,101.04,21.49,322.77,289.78,1653
2020-Feb-25 03:55:37,38.1,1.49,0.75,2.65,2.28,101.04,21.49,322.78,289.78,1653
2020-Feb-25 04:11:53,39.7,1.44,0.49,2.65,2.28,101.04,21.49,322.79,289.77,1653
2020-Feb-28 04:02:19,39.4,1.45,0.72,2.70,2.31,102.14,21.06,325.32,288.69,1674
2020-Feb-28 04:20:27,41.0,1.41,0.65,2.70,2.31,102.15,21.05,325.33,288.69,1674
2020-Feb-28 04:32:18,42.0,1.38,0.60,2.70,2.31,102.15,21.05,325.34,288.69,1674
2020-Feb-28 04:48:45,43.3,1.35,1.22,2.70,2.31,102.15,21.05,325.35,288.68,1674
