date,jd,Q(CN),Q(CN) un,Q(C2),Q(C2) un,ratio Q(C2)/Q(CN),ratio Q(C2)/Q(CN) un,Q(CN) upper lim,Q(C2) upper lim,ratio Q(C2)/Q(CN) upper lim,ref,year
20/09/19,2458746,3.7,0.4,,,,,,4,1,Fitzsimmons,2019
20/09/19,2458746,,,,,,,5,8,,Kareta,2020
24/09/19,2458750,2.3,0.4,,,,,,,,deLe\'{o}n,2020
26/09/19,2458752,9.5,0.2,,,,,,4.6,0.511,deLe\'{o}n,2020
01/10/19,2458757,1.1,0.2,,,,,,2.5,2.3,Kareta,2020
01/10/19,2458757,1.8,0.1,,,,,,0.9,,Opitom,2019
02/10/19,2458758,1.9,0.1,,,,,,0.6,,Opitom,2019
09/10/19,2458765,1.74,0.09,,,,,,0.44,0.3,Kareta,2020
10/10/19,2458766,1.73,0.04,,,,,,0.162,0.1,Kareta,2020
13/10/19,2458769,2.1,0.1,,,,,,0.6,0.3,Opitom,2019
18/10/19,2458774,1.9,0.6,,,,,,,,Opitom,2019
20/10/19,2458776,1.6,0.5,,,,,,,,Opitom,2019
26/10/19,2458782,1.9,0.3,,,,,,,,Kareta,2020
31/10/19,2458787,2,0.2,,,,,,,,Lin,2020
04/11/19,2458791,2.4,0.2,0.55,0.04,0.2,0.1,,,,Lin,2020
10/11/19,2458797,1.9,0.5,,,,,,,,Bannister,2020
17/11/19,2458804,1.9,0.5,,,,,,,,Bannister,2020
25/11/19,2458812,1.6,0.5,,,,,,,,Bannister,2020
30/11/19,2458817,3.36,0.25,1.82,0.6,0.54,0.18,,,,Aravind,2021
15/12/19,2458832,0.95,0.18,,,,,,,,Cordiner,2020
18/12/19,2458835,1.16,0.19,,,,,,,,Cordiner,2020
19/12/19,2458836,0.92,0.17,,,,,,,,Cordiner,2020
22/12/19,2458839,6.68,0.27,2.3,0.82,0.34,0.12,,,,Aravind,2021
